id,food_code,component,unity,value
239,BRC0218C,Vitamina B12,mcg,0.00
240,BRC0218C,Vitamina C,mg,31.20
241,BRC0218C,Equivalente de folato,mcg,7.89
242,BRC0218C,Sal de adição,g,0.00
243,BRC0218C,Açúcar de adição,g,0.00
244,BRC0218C,Gordura de adição,g,0.00
245,BRC0218C,Proteína vegetal,g,0.71
246,BRC0218C,Proteína animal,g,0.00
247,BRC0002C,Energia,kJ,211.00
248,BRC0002C,Energia,kcal,50.00
249,BRC0002C,Umidade,g,87.00
250,BRC0002C,Carboidrato total,g,11.60
251,BRC0002C,Carboidrato disponível,g,10.50
252,BRC0002C,Proteína,g,0.68
253,BRC0002C,Lipídios,g,0.33
254,BRC0002C,Fibra alimentar,g,1.12
255,BRC0002C,Álcool,g,0.00
256,BRC0002C,Cinzas,g,0.36
257,BRC0002C,Colesterol,mg,0.00
258,BRC0002C,Ácidos graxos saturados,g,0.02
259,BRC0002C,Ácidos graxos monoinsaturados,g,0.03
260,BRC0002C,Ácidos graxos poliinsaturados,g,0.10
261,BRC0002C,Ácidos graxos trans,g,0.00
262,BRC0002C,Cálcio,mg,18.40
263,BRC0002C,Ferro,mg,0.47
264,BRC0002C,Sódio,mg,2.84
265,BRC0002C,Magnésio,mg,16.60
266,BRC0002C,Fósforo,mg,10.50
267,BRC0002C,Potássio,mg,137.00
268,BRC0002C,Manganês,mg,1.49
269,BRC0002C,Zinco,mg,0.15
270,BRC0002C,Cobre,mg,0.12
271,BRC0002C,Selênio,mcg,0.41
272,BRC0002C,Vitamina A (RE),mcg,2.00
273,BRC0002C,Vitamina A (RAE),mcg,1.00
274,BRC0002C,Vitamina D,mcg,0.00
275,BRC0002C,Alfa-tocoferol (Vitamina E),mg,0.05
276,BRC0002C,Tiamina,mg,0.17
277,BRC0002C,Riboflavina,mg,0.02
278,BRC0002C,Niacina,mg,0.00
279,BRC0002C,Vitamina B6,mg,0.00
280,BRC0002C,Vitamina B12,mcg,0.00
281,BRC0002C,Vitamina C,mg,33.10
282,BRC0002C,Equivalente de folato,mcg,11.30
283,BRC0002C,Sal de adição,g,0.00
284,BRC0002C,Açúcar de adição,g,0.00
285,BRC0002C,Gordura de adição,g,0.00
286,BRC0002C,Proteína vegetal,g,0.68
287,BRC0002C,Proteína animal,g,0.00
288,BRC0069C,Energia,kJ,279.00
289,BRC0069C,Energia,kcal,66.00
290,BRC0069C,Umidade,g,83.10
291,BRC0069C,Carboidrato total,g,14.90
292,BRC0069C,Carboidrato disponível,g,13.20
293,BRC0069C,Proteína,g,0.83
294,BRC0069C,Lipídios,g,0.70
295,BRC0069C,Fibra alimentar,g,1.70
296,BRC0069C,Álcool,g,0.00
297,BRC0069C,Cinzas,g,0.39
298,BRC0069C,Colesterol,mg,0.00
299,BRC0069C,Ácidos graxos saturados,g,0.30
300,BRC0069C,Ácidos graxos monoinsaturados,g,0.10
301,BRC0069C,Ácidos graxos poliinsaturados,g,0.10
302,BRC0069C,Ácidos graxos trans,g,0.00
303,BRC0069C,Cálcio,mg,5.78
304,BRC0069C,Ferro,mg,0.16
305,BRC0069C,Sódio,mg,0.00
306,BRC0069C,Magnésio,mg,9.30
307,BRC0069C,Fósforo,mg,20.30
308,BRC0069C,Potássio,mg,128.00
309,BRC0069C,Manganês,mg,0.08
310,BRC0069C,Zinco,mg,0.10
311,BRC0069C,Cobre,mg,0.09
312,BRC0069C,Selênio,mcg,0.00
313,BRC0069C,Vitamina A (RE),mcg,0.00
314,BRC0069C,Vitamina A (RAE),mcg,0.00
315,BRC0069C,Vitamina D,mcg,0.00
316,BRC0069C,Alfa-tocoferol (Vitamina E),mg,0.00
317,BRC0069C,Tiamina,mg,0.00
318,BRC0069C,Riboflavina,mg,0.04
319,BRC0069C,Niacina,mg,0.00
320,BRC0069C,Vitamina B6,mg,0.05
321,BRC0069C,Vitamina B12,mcg,0.00
322,BRC0069C,Vitamina C,mg,10.30
323,BRC0069C,Equivalente de folato,mcg,0.00
324,BRC0069C,Sal de adição,g,0.00
325,BRC0069C,Açúcar de adição,g,0.00
326,BRC0069C,Gordura de adição,g,0.00
327,BRC0069C,Proteína vegetal,g,0.83
328,BRC0069C,Proteína animal,g,0.00
329,BRC0680B,Energia,kJ,200.00
330,BRC0680B,Energia,kcal,48.00
331,BRC0680B,Umidade,g,87.60
332,BRC0680B,Carboidrato total,g,8.22
333,BRC0680B,Carboidrato disponível,g,5.43
334,BRC0680B,Proteína,g,1.51
335,BRC0680B,Lipídios,g,1.61
336,BRC0680B,Fibra alimentar,g,2.79
337,BRC0680B,Álcool,g,0.00
338,BRC0680B,Cinzas,g,1.08
339,BRC0680B,Colesterol,mg,0.00
340,BRC0680B,Ácidos graxos saturados,g,0.25
341,BRC0680B,Ácidos graxos monoinsaturados,g,0.38
342,BRC0680B,Ácidos graxos poliinsaturados,g,0.83
343,BRC0680B,Ácidos graxos trans,g,0.01
344,BRC0680B,Cálcio,mg,45.90
345,BRC0680B,Ferro,mg,0.37
346,BRC0680B,Sódio,mg,188.00
347,BRC0680B,Magnésio,mg,15.80
348,BRC0680B,Fósforo,mg,37.20
349,BRC0680B,Potássio,mg,170.00
350,BRC0680B,Manganês,mg,0.33
351,BRC0680B,Zinco,mg,0.34
352,BRC0680B,Cobre,mg,0.10
353,BRC0680B,Selênio,mcg,0.68
354,BRC0680B,Vitamina A (RE),mcg,313.00
355,BRC0680B,Vitamina A (RAE),mcg,156.00
356,BRC0680B,Vitamina D,mcg,0.00
357,BRC0680B,Alfa-tocoferol (Vitamina E),mg,4.08
358,BRC0680B,Tiamina,mg,0.07
359,BRC0680B,Riboflavina,mg,0.00
360,BRC0680B,Niacina,mg,0.02
361,BRC0680B,Vitamina B6,mg,0.06
362,BRC0680B,Vitamina B12,mcg,0.00
363,BRC0680B,Vitamina C,mg,5.97
364,BRC0680B,Equivalente de folato,mcg,27.50
365,BRC0680B,Sal de adição,g,0.47
366,BRC0680B,Açúcar de adição,g,0.00
367,BRC0680B,Gordura de adição,g,0.00
368,BRC0680B,Proteína vegetal,g,0.00
369,BRC0680B,Proteína animal,g,0.00
370,BRC0059B,Energia,kJ,212.00
371,BRC0059B,Energia,kcal,50.00
372,BRC0059B,Umidade,g,86.40
373,BRC0059B,Carboidrato total,g,10.80
374,BRC0059B,Carboidrato disponível,g,8.30
375,BRC0059B,Proteína,g,1.44
376,BRC0059B,Lipídios,g,0.73
377,BRC0059B,Fibra alimentar,g,2.46
378,BRC0059B,Álcool,g,0.00
379,BRC0059B,Cinzas,g,0.71
380,BRC0059B,Colesterol,mg,0.00
381,BRC0059B,Ácidos graxos saturados,g,0.10
382,BRC0059B,Ácidos graxos monoinsaturados,g,0.20
383,BRC0059B,Ácidos graxos poliinsaturados,g,0.20
384,BRC0059B,Ácidos graxos trans,g,0.00
385,BRC0059B,Cálcio,mg,7.63
386,BRC0059B,Ferro,mg,0.35
387,BRC0059B,Sódio,mg,1.45
388,BRC0059B,Magnésio,mg,9.11
389,BRC0059B,Fósforo,mg,32.60
390,BRC0059B,Potássio,mg,199.00
391,BRC0059B,Manganês,mg,0.26
392,BRC0059B,Zinco,mg,0.29
393,BRC0059B,Cobre,mg,0.06
394,BRC0059B,Selênio,mcg,1.18
395,BRC0059B,Vitamina A (RE),mcg,617.00
396,BRC0059B,Vitamina A (RAE),mcg,308.00
397,BRC0059B,Vitamina D,mcg,0.00
398,BRC0059B,Alfa-tocoferol (Vitamina E),mg,8.34
399,BRC0059B,Tiamina,mg,0.08
400,BRC0059B,Riboflavina,mg,0.00
401,BRC0059B,Niacina,mg,0.00
402,BRC0059B,Vitamina B6,mg,0.07
