id,code,url,portuguese_name,name,cientific_name,group,brand
515,BRC0106H,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=XqCo%2BEKmOCkHI2n3VJRBLg%3D%3D,"Bebida, capuccino (leite desnatado, infusão café descafeinado e cacau em pó), s/ açúcar","Bebida, capuccino (leite desnatado, infusão café descafeinado e cacau em pó), s/ açúcar",,Bebidas,
516,BRC0107H,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=GTl%2Buk1VqoItvS2tHUnBog%3D%3D,"Bebida, capuccino (leite desnatado, infusão café descafeinado e chocolate em pó), c/ açúcar","Bebida, capuccino (leite desnatado, infusão café descafeinado e chocolate em pó), c/ açúcar",,Bebidas,
517,BRC0105H,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=TIB%2BiHT2UvcAQWdrmFnyTQ%3D%3D,"Bebida, capuccino (leite desnatado, infusão café descafeinado e chocolate em pó), s/ açúcar","Bebida, capuccino (leite desnatado, infusão café descafeinado e chocolate em pó), s/ açúcar",,Bebidas,
518,BRC0077H,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=BJzdAc%2F9Wo%2FN1r91fk5S6Q%3D%3D,"Bebida, capuccino (leite integral, infusão café descafeinado e cacau em pó), c/ açúcar","Bebida, capuccino (leite integral, infusão café descafeinado e cacau em pó), c/ açúcar",,Bebidas,
519,BRC0075H,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=l2%2FcXNbvlujJaTab5nEsHQ%3D%3D,"Bebida, capuccino (leite integral, infusão café descafeinado e cacau em pó), s/ açúcar","Bebida, capuccino (leite integral, infusão café descafeinado e cacau em pó), s/ açúcar",,Bebidas,
520,BRC0076H,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=hNZfq9xDDecRwJ0wyUaDWQ%3D%3D,"Bebida, capuccino (leite integral, infusão café descafeinado e chocolate em pó), c/ açúcar, Brasil","Bebida, capuccino (leite integral, infusão café descafeinado e chocolate em pó), c/ açúcar, Brasil",,Bebidas,
521,BRC0074H,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=3neLfEKDaMySBTfS%2F%2BzZrw%3D%3D,"Bebida, capuccino (leite integral, infusão café descafeinado e chocolate em pó), s/ açúcar, Brasil","Bebida, capuccino (leite integral, infusão café descafeinado e chocolate em pó), s/ açúcar, Brasil",,Bebidas,
522,BRC0047H,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=YAG%2BHrEdtiKxXFMBjBx1Hg%3D%3D,"Bebida, capuccino (leite, café e achocolatado em pó), c/ açúcar","Bebida, capuccino (leite, café e achocolatado em pó), c/ açúcar",,Bebidas,
523,BRC0045H,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=WKv1nPmbr34sHTXQotxO%2Fw%3D%3D,"Bebida, capuccino (leite, café e achocolatado em pó), s/ açúcar","Bebida, capuccino (leite, café e achocolatado em pó), s/ açúcar",,Bebidas,
524,BRC0111H,int_composicao_alimentos.php?n0REd3kv7e86D%2BViXWYUnQ%3D%3D=cl5hY1555woeQllK1DrcoA%3D%3D,"Bebida, capuccino tradicional (leite de vaca integral, café - infusão 10% e canela em pó), c/ açúcar, Brasil","Bebida, capuccino tradicional (leite de vaca integral, café - infusão 10% e canela em pó), c/ açúcar, Brasil",,Bebidas,
